City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
278,Mahajanga,-15.7167,46.3167,84.2,79,20,4.61,MG,few clouds
279,Naze,28.3667,129.4833,66.45,93,100,10.31,JP,overcast clouds
280,Evensk,61.95,159.2333,14.18,68,100,11.16,RU,overcast clouds
281,Ouesso,1.6136,16.0517,90.1,43,79,3.24,CG,broken clouds
282,Payson,40.0444,-111.7321,33.01,47,40,4.61,US,scattered clouds
283,Sunel,24.3667,75.9667,92.95,14,1,14.2,IN,clear sky
284,Komsomolskiy,40.4272,71.7189,46.4,57,97,4.61,UZ,overcast clouds
285,Russkiy Aktash,55.0384,52.1214,33.8,60,0,11.18,RU,clear sky
286,Shirpur,21.35,74.8833,91.11,12,10,14.0,IN,clear sky
287,Tarko-Sale,64.9225,77.785,-11.78,95,7,9.78,RU,clear sky
288,Ucluelet,48.9329,-125.5528,35.01,93,20,2.3,CA,few clouds
289,Shetpe,44.1667,52.1167,45.37,54,63,7.16,KZ,broken clouds
290,Alpena,45.0617,-83.4327,55.99,40,1,14.97,US,clear sky
291,Praia,14.9215,-23.5087,78.8,50,75,20.71,CV,broken clouds
292,Brownsville,25.9018,-97.4975,75.2,83,90,14.97,US,overcast clouds
293,Vostok,46.4856,135.8833,30.99,98,100,4.18,RU,light snow
294,Rio Gallegos,-51.6226,-69.2181,55.4,58,40,23.02,AR,scattered clouds
295,Dehloran,32.6941,47.2679,76.5,13,34,4.61,IR,scattered clouds
296,Kirakira,-10.4544,161.9205,80.17,83,62,4.61,SB,broken clouds
297,Mezen,65.8522,44.24,34.77,97,100,12.55,RU,light snow
298,San Policarpo,12.1791,125.5072,80.24,84,99,4.36,PH,overcast clouds
299,Aras,42.5617,-2.356,73.99,26,0,17.27,ES,clear sky
300,Atar,20.5169,-13.0499,100.47,9,9,4.38,MR,clear sky
301,Tyup,42.7276,78.3648,30.4,72,100,7.09,KG,overcast clouds
302,Boat Of Garten,57.2491,-3.759,60.8,77,75,23.02,GB,moderate rain
303,Laguna,38.421,-121.4238,53.6,28,1,10.36,US,clear sky
304,Follonica,42.9263,10.7616,75.0,52,0,13.8,IT,clear sky
305,Baksheyevo,55.7086,39.8767,33.75,88,100,12.93,RU,snow
306,Huangzhou,30.45,114.8,60.8,100,90,6.71,CN,light rain
307,Manokwari,-0.8667,134.0833,78.19,81,100,3.89,ID,overcast clouds
308,Sorong,-0.8833,131.25,81.43,80,100,5.12,ID,overcast clouds
309,Cavalcante,-13.7975,-47.4583,86.97,37,3,2.84,BR,clear sky
310,Saint George,37.1041,-113.5841,46.99,18,1,9.22,US,clear sky
311,Jodhpur,26.2867,73.03,91.47,6,8,16.4,IN,clear sky
312,Dingle,10.9995,122.6711,77.47,83,100,5.32,PH,overcast clouds
313,Veinticinco De Mayo,-35.4323,-60.1727,73.0,67,0,5.99,AR,clear sky
314,Chanute,37.6792,-95.4572,59.0,44,1,10.36,US,clear sky
315,Talnakh,69.4865,88.3972,-21.66,94,8,2.33,RU,clear sky
316,Aginskoye,51.1,114.53,32.68,78,4,3.53,RU,clear sky
317,Buritis,-15.6178,-46.4233,92.86,34,0,3.11,BR,clear sky
318,La Orilla,17.9833,-102.2333,80.62,45,39,1.12,MX,scattered clouds
319,Corner Brook,48.9667,-57.9484,24.8,54,75,20.71,CA,snow
320,Tolmachevo,54.9824,82.7363,24.01,68,0,8.95,RU,clear sky
321,Trinidad,-14.8333,-64.9,80.6,69,40,11.5,BO,scattered clouds
322,Ipil,7.75,122.5167,72.16,92,100,3.2,PH,moderate rain
323,Tecoanapa,16.5167,-98.75,82.92,52,53,2.73,MX,broken clouds
324,Vestmannaeyjar,63.4427,-20.2734,39.2,70,40,8.05,IS,scattered clouds
325,Lubango,-14.9172,13.4925,63.88,78,100,4.21,AO,light rain
326,Belyy Yar,53.6039,91.3903,28.4,74,0,8.95,RU,clear sky
327,Zeya,53.75,127.2667,21.65,88,8,4.76,RU,clear sky
328,Casablanca,33.5928,-7.6192,77.0,64,11,11.5,MA,few clouds
329,Puerto Del Rosario,28.5004,-13.8627,69.8,73,20,8.05,ES,few clouds
330,Ribas Do Rio Pardo,-20.4431,-53.7592,89.08,43,2,2.77,BR,clear sky
331,Klyuchi,52.2667,79.1667,24.42,89,99,6.53,RU,overcast clouds
332,Kokstad,-30.5472,29.4241,68.68,65,0,3.27,ZA,clear sky
333,Hue,16.4667,107.6,84.2,79,20,3.44,VN,few clouds
334,Saint-Pierre,-21.3393,55.4781,80.6,83,90,4.61,RE,light rain
335,Ishigaki,24.3448,124.1572,77.22,85,5,5.41,JP,clear sky
336,Kodiak,57.79,-152.4072,33.8,80,90,5.75,US,overcast clouds
337,Houma,29.5958,-90.7195,75.99,88,90,8.05,US,mist
338,Nhulunbuy,-12.2333,136.7667,73.4,100,87,6.91,AU,light rain
339,Morondava,-20.2833,44.2833,81.9,63,3,19.6,MG,clear sky
340,San Juan,-31.5375,-68.5364,75.85,26,0,3.8,AR,clear sky
341,Coihaique,-45.5752,-72.0662,66.2,59,20,5.75,CL,few clouds
342,Chinsali,-10.5414,32.0816,66.06,92,84,7.52,ZM,light rain
343,Flin Flon,54.7682,-101.865,5.0,72,90,17.27,CA,snow
344,Mayo,38.8876,-76.5119,60.01,71,1,11.5,US,clear sky
345,Kristiinankaupunki,62.2743,21.376,39.67,74,31,11.56,FI,scattered clouds
346,Avera,33.194,-82.5271,64.4,48,90,8.05,US,overcast clouds
