City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
239,Kununurra,AU,71.6,scattered clouds,-15.7667,128.7333,Hotel Kununurra
242,Port Hedland,AU,82.4,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
244,Mareeba,AU,77.0,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
245,Bulembu,SZ,68.0,light rain,-25.9667,31.1333,Bulembu Lodge
246,Yima,CN,62.01,overcast clouds,34.7381,111.8839,Yima Hotel
247,Bambanglipuro,ID,79.36,overcast clouds,-7.95,110.2833,Puri Brata
248,Abancay,PE,50.0,fog,-13.6339,-72.8814,Siball Hotel
249,Lethem,GY,82.4,scattered clouds,3.3803,-59.7968,Savannah Inn
250,Lagoa,PT,57.72,overcast clouds,39.05,-27.9833,Casa Das Faias
256,Vidalia,US,62.6,overcast clouds,32.2177,-82.4135,Quality Inn & Suites
257,Vila Franca Do Campo,PT,59.0,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
259,San Andres,CO,82.4,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
261,Waddan,LY,72.77,clear sky,29.1614,16.139,محل الشريف محمد العايب
264,Rawah,IQ,71.85,clear sky,34.4816,41.9093,المملكة الراوية الهاشمية
265,Poum,NC,79.52,overcast clouds,-20.2333,164.0167,Gîte kajeon
266,Vilhena,BR,84.2,broken clouds,-12.7406,-60.1458,Hotel Mirage
274,Fenelon Falls,CA,51.8,broken clouds,44.5334,-78.7496,Road 121 Motel
276,Guerrero Negro,MX,60.21,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
277,Yarim,YE,66.13,scattered clouds,14.298,44.3779,وليد المسوري ابو اسد
278,Mahajanga,MG,84.2,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
279,Naze,JP,66.45,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
290,Alpena,US,55.99,clear sky,45.0617,-83.4327,Days Inn by Wyndham Alpena
291,Praia,CV,78.8,broken clouds,14.9215,-23.5087,LT Aparthotel
292,Brownsville,US,75.2,overcast clouds,25.9018,-97.4975,University Inn & Suites
294,Rio Gallegos,AR,55.4,scattered clouds,-51.6226,-69.2181,Hotel Santa Cruz
295,Dehloran,IR,76.5,scattered clouds,32.6941,47.2679,کافه گیم استورم
296,Kirakira,SB,80.17,broken clouds,-10.4544,161.9205,SanBiz Lodge
298,San Policarpo,PH,80.24,overcast clouds,12.1791,125.5072,JM Lodge
299,Aras,ES,73.99,clear sky,42.5617,-2.356,Jardines de Viana Spa
302,Boat Of Garten,GB,60.8,moderate rain,57.2491,-3.759,The Boat Country Inn & Restaurant
303,Laguna,US,53.6,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
304,Follonica,IT,75.0,clear sky,42.9263,10.7616,Hotel Parrini
306,Huangzhou,CN,60.8,light rain,30.45,114.8,Manjianghong Business Hotel
307,Manokwari,ID,78.19,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
308,Sorong,ID,81.43,overcast clouds,-0.8833,131.25,The Waigo Hotel
312,Dingle,PH,77.47,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
313,Veinticinco De Mayo,AR,73.0,clear sky,-35.4323,-60.1727,Estancia La Rosada
314,Chanute,US,59.0,clear sky,37.6792,-95.4572,Guest House Motel Chanute
318,La Orilla,MX,80.62,scattered clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
321,Trinidad,BO,80.6,scattered clouds,-14.8333,-64.9,Hotel Piesta
323,Tecoanapa,MX,82.92,broken clouds,16.5167,-98.75,Hotel Manglares
325,Lubango,AO,63.88,light rain,-14.9172,13.4925,Hotel Serra da Chela
328,Casablanca,MA,77.0,few clouds,33.5928,-7.6192,Hotel Moroccan House Casablanca
329,Puerto Del Rosario,ES,69.8,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
332,Kokstad,ZA,68.68,clear sky,-30.5472,29.4241,Majestic Bed and Breakfast
333,Hue,VN,84.2,few clouds,16.4667,107.6,Saigon Morin Hotel
334,Saint-Pierre,RE,80.6,light rain,-21.3393,55.4781,Lindsey Hôtel
335,Ishigaki,JP,77.22,clear sky,24.3448,124.1572,Hotel Peace Land Ishigakijima
337,Houma,US,75.99,mist,29.5958,-90.7195,Courtyard by Marriott Houma
338,Nhulunbuy,AU,73.4,light rain,-12.2333,136.7667,East Arnhem Real Estate
339,Morondava,MG,81.9,clear sky,-20.2833,44.2833,La Case Bambou
340,San Juan,AR,75.85,clear sky,-31.5375,-68.5364,Hotel Provincial
341,Coihaique,CL,66.2,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
342,Chinsali,ZM,66.06,light rain,-10.5414,32.0816,Mwiluzi Motel Chinsali Ltd
344,Mayo,US,60.01,clear sky,38.8876,-76.5119,Resorts Resource Group International
348,Monreale,IT,62.01,clear sky,38.0801,13.2885,Palazzo Ducale Suites - B&B Monreale
349,Hervey Bay,AU,68.0,broken clouds,-25.2986,152.8535,Shelly Bay Resort
354,Honavar,IN,82.44,broken clouds,14.2833,74.45,Hotel Sagar Residency
356,Sheffield Lake,US,61.0,clear sky,41.4875,-82.1015,Fairfield Inn & Suites by Marriott Cleveland Avon
358,La Plata,AR,72.0,clear sky,-34.9215,-57.9545,Hotel Corregidor
359,Kahului,US,70.0,clear sky,20.8947,-156.47,Maui Seaside Hotel
360,Saldanha,ZA,73.4,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
361,Quatre Cocos,MU,78.01,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
362,Puerto Narino,CO,75.2,light rain,-3.7703,-70.3831,Eware Refugio Amazonico
364,Rottweil,DE,70.0,scattered clouds,48.1678,8.6272,MY HOME Hotel Lamm Rottweil
365,Yongzhou,CN,68.61,light rain,26.4559,111.5988,Jialong Hotel
367,Wana,PK,65.64,clear sky,32.2989,69.5725,Rest House at Wana Camp
369,Evanston,US,60.01,clear sky,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
370,Alofi,NU,77.0,scattered clouds,-19.0595,-169.9187,Taloa Heights
371,Shimoda,JP,61.0,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
373,Braedstrup,DK,61.0,overcast clouds,55.9708,9.6085,Hotel Pejsegården
375,Qom,IR,63.03,clear sky,34.6401,50.8764,Qom Hotel
378,Joshimath,IN,57.16,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
380,Luena,AO,73.4,scattered clouds,-11.7833,19.9167,Hotel Kandamba
382,Padang,ID,77.0,moderate rain,-0.9492,100.3543,Mercure Padang
391,Luanda,AO,84.2,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
393,Aloleng,PH,81.48,overcast clouds,16.1307,119.7824,Agno Umbrella Rocks
396,Viransehir,TR,56.16,overcast clouds,37.2353,39.7631,Viranşehir Öğretmenevi
397,Jaru,BR,75.29,overcast clouds,-10.4389,-62.4664,Hotel Paraná
399,Emerald,AU,71.6,clear sky,-23.5333,148.1667,The Irish Village
400,Istisu,AZ,50.0,scattered clouds,40.9457,48.0738,Shirvan Resort (Halal)
402,Kieta,PG,78.67,light rain,-6.2167,155.6333,Uruna Bay Retreat
405,Tabou,CI,84.04,few clouds,4.423,-7.3528,hotêl doufoulougou
409,Alvaraes,BR,84.2,scattered clouds,-3.2208,-64.8042,Av. Castelo Branco. Ginásio Ermelino vieira.
410,Tautira,PF,77.0,broken clouds,-17.7333,-149.15,Pension Oaoa
411,Kualakapuas,ID,76.32,moderate rain,-3.0091,114.3876,Guest House Izonk
413,Wuzhou,CN,80.94,overcast clouds,23.4833,111.3167,Wuzhou Hostel
414,Ahuimanu,US,73.4,light rain,21.4447,-157.8378,Paradise Bay Resort
417,Martapura,ID,75.51,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
418,Airai,TL,59.68,overcast clouds,-8.9266,125.4092,Juvinal Martin
420,Kimbe,PG,76.3,light rain,-5.5502,150.1429,Kimbe Bay Hotel
424,Dharmadam,IN,83.34,broken clouds,11.7833,75.4333,Samudra Homes
425,Mwense,ZM,71.73,moderate rain,-10.3845,28.698,Mwense Council Guest House
427,Marseille,FR,70.0,clear sky,43.3333,5.5,Hôtel The Originals Côté Sud (ex Inter-Hotel)
428,Melo,UY,72.54,scattered clouds,-32.3667,-54.1833,Hotel Cafer
430,Sinazongwe,ZM,80.78,clear sky,-17.2614,27.4618,Lakeview Lodge
431,Gawler,AU,68.0,clear sky,-34.6,138.7333,Eagle Foundry Bed & Breakfast
433,Huarmey,PE,73.76,overcast clouds,-10.0681,-78.1522,Hotel Miramar
436,Innisfail,AU,74.44,broken clouds,-17.5333,146.0333,Moondarra Motel
437,Sao Joao Evangelista,BR,83.28,few clouds,-18.5478,-42.7633,Hotel Barbosa
440,Paracuru,BR,82.99,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
442,Manta,EC,82.4,scattered clouds,-0.95,-80.7333,Balandra Hotel
443,Killarney,IE,62.6,clear sky,52.05,-9.5167,Cahernane House Hotel - Killarney Hotel
449,Reus,ES,64.4,clear sky,41.1561,1.1069,Hotel NH Ciutat de Reus
451,Sambava,MG,80.85,light rain,-14.2667,50.1667,Melrose
452,Inyonga,TZ,67.23,moderate rain,-6.7167,32.0667,Eden Rock Lodge
454,Garden City,US,60.8,scattered clouds,42.3256,-83.331,Quality Inn & Suites Banquet Center
455,Coquimbo,CL,62.6,few clouds,-29.9533,-71.3436,Punto de encuentro
456,West Plains,US,61.0,scattered clouds,36.7281,-91.8524,West Plains Motel
457,Bayir,TR,60.8,clear sky,37.2687,28.2167,Hotel Babadag
458,Piacabucu,BR,84.9,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
460,Miri,MY,82.0,light rain,4.4148,114.0089,"Mega Hotel, Miri"
461,Tolaga Bay,NZ,61.57,moderate rain,-38.3667,178.3,Tolaga Bay Motel
465,Copiapo,CL,60.8,overcast clouds,-27.3667,-70.3333,San Francisco de La Selva
467,Trincomalee,LK,83.61,broken clouds,8.5711,81.2335,Welcombe Hotel
469,Gazanjyk,TM,58.15,clear sky,39.2446,55.5154,Railway motel
470,Rosario,AR,75.99,few clouds,-32.9468,-60.6393,Holiday Inn Rosario
472,Matay,EG,71.35,few clouds,28.419,30.7792,Nag Aespen
476,Hun,LY,73.17,clear sky,29.1268,15.9477,Alrwasi Hotel
477,La Paz,BO,53.6,scattered clouds,-16.5,-68.15,Hotel Sagarnaga
479,Uyuni,BO,56.28,overcast clouds,-20.4597,-66.825,Hostal La Magia de Uyuni
481,Cam Ranh,VN,80.6,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
